len/func	s-vec		s-unr		split-o		split-n		kara		avx2		avx2u		avx512		avx512u		
48			1.154		1.510		0.615		0.936		0.622		3.050		3.263		4.326		3.817		
49			1.158		1.493		0.605		0.880		0.609		2.944		3.465		4.223		3.818		
50			1.151		1.495		0.589		0.842		0.593		2.832		2.991		3.860		3.474		
51			1.155		1.486		0.580		0.811		0.580		2.819		3.313		3.586		3.296		
52			1.071		1.316		0.622		0.949		0.627		3.142		2.752		2.562		2.602		
53			1.076		1.279		0.610		0.892		0.614		3.000		3.473		2.216		2.245		
54			1.153		1.511		0.608		0.861		0.611		2.932		3.460		3.117		2.883		
55			1.155		1.500		0.594		0.830		0.594		2.877		3.375		3.026		2.786		
56			1.155		1.536		0.627		0.960		0.631		3.168		3.346		4.748		3.973		
57			1.156		1.504		0.615		0.908		0.621		3.033		3.500		4.477		4.044		
58			1.152		1.508		0.608		0.879		0.611		2.968		3.342		4.206		3.710		
59			1.157		1.504		0.594		0.851		0.596		2.938		3.327		3.852		3.581		
60			1.061		1.248		0.635		0.972		0.642		3.218		3.218		3.420		3.114		
61			1.068		1.200		0.625		0.922		0.630		3.095		3.362		3.250		2.977		
62			1.152		1.525		0.624		0.890		0.622		3.015		3.496		3.376		3.135		
63			1.156		1.519		0.609		0.862		0.608		2.970		3.457		3.260		3.085		
64			1.153		1.545		0.637		0.983		0.646		3.264		4.304		4.733		5.106		
65			1.156		1.533		0.627		0.932		0.634		3.136		4.152		4.657		5.254		
66			1.157		1.536		0.618		0.905		0.619		3.051		3.827		4.404		4.850		
67			1.157		1.530		0.607		0.882		0.607		3.028		3.779		4.067		4.425		
68			1.031		1.298		0.648		0.998		0.656		3.328		3.433		2.907		2.926		
69			1.011		1.294		0.635		0.944		0.641		3.188		3.636		2.667		2.750		
70			1.155		1.543		0.633		0.826		0.631		2.094		3.780		3.568		3.656		
71			1.159		1.543		0.620		0.897		0.619		3.075		3.645		3.450		3.559		
72			1.154		1.563		0.645		1.022		0.653		3.319		3.694		4.935		4.862		
73			1.259		1.672		0.691		1.037		0.700		3.507		4.174		5.255		5.401		
74			1.102		1.455		0.701		1.037		0.703		2.411		3.568		4.437		4.552		
75			1.111		1.438		0.698		1.028		0.700		3.519		3.566		3.871		4.015		
76			1.055		1.420		0.694		1.077		0.701		3.566		3.917		3.977		4.103		
77			1.045		1.408		0.672		1.010		0.675		3.404		4.079		3.671		3.865		
78			1.119		1.514		0.713		1.043		0.713		2.507		4.262		4.229		4.165		
79			1.050		1.633		0.661		0.967		0.660		3.306		3.919		3.890		3.779		
80			1.136		1.756		0.729		1.136		0.736		3.793		4.123		5.707		5.578		
81			1.131		1.748		0.720		1.089		0.729		3.699		4.371		5.602		5.657		
82			1.143		1.434		0.696		1.058		0.697		3.545		3.679		4.570		5.043		
83			1.131		1.431		0.664		1.007		0.653		3.266		3.380		3.932		4.412		
84			1.019		1.599		0.667		1.034		0.675		3.452		3.738		4.268		4.234		
85			1.052		1.590		0.660		0.996		0.667		3.374		3.957		4.135		4.074		
86			1.115		1.721		0.708		1.045		0.708		3.565		4.279		4.341		4.309		
87			1.029		1.589		0.645		0.951		0.643		3.262		3.896		3.979		3.896		
88			1.065		1.410		0.690		1.079		0.695		3.607		3.196		4.455		4.941		
89			1.095		1.329		0.646		0.984		0.655		3.343		3.924		4.414		5.000		
90			1.154		1.569		0.639		0.960		0.639		3.244		3.911		4.880		4.880		
91			1.154		1.564		0.629		0.941		0.631		3.223		3.872		4.579		4.543		
92			1.100		1.358		0.661		1.030		0.670		3.435		3.337		3.337		3.497		
93			1.179		1.472		0.701		1.064		0.708		3.597		4.084		3.385		3.422		
94			1.146		1.379		0.643		0.958		0.643		3.278		3.831		4.097		3.933		
