function: (64-bit) modular dot product
unit: all measurements in seconds
profiled: seq no-vec | seq auto-vec | seq loop-unrolled | flint | seq split | seq karatsuba | avx2 | avx2 split | avx2 karatsuba | avx512 split | avx512 karatsuba
bitsize: 60

len/func	s-novec		s-vec		s-unr		flint		split		kara		avx2		split avx2	kara avx2	split avx512	kara avx512
6360		4.850e-06	4.850e-06	3.690e-06	2.990e-06	3.280e-06	3.330e-06	7.810e-06	2.020e-06	2.340e-06	2.440e-06	2.530e-06
6510		4.960e-06	4.960e-06	3.770e-06	3.070e-06	3.380e-06	3.470e-06	8.060e-06	2.090e-06	2.430e-06	3.360e-06	3.410e-06
6660		5.100e-06	5.090e-06	3.870e-06	3.240e-06	3.440e-06	3.490e-06	8.180e-06	2.150e-06	2.460e-06	3.560e-06	3.720e-06
6810		5.200e-06	5.180e-06	3.950e-06	3.210e-06	3.540e-06	3.620e-06	8.470e-06	2.180e-06	2.530e-06	3.500e-06	3.560e-06
6960		5.310e-06	5.310e-06	4.030e-06	3.270e-06	3.580e-06	3.650e-06	8.540e-06	2.200e-06	2.560e-06	2.680e-06	2.760e-06
7110		5.420e-06	5.420e-06	4.120e-06	3.350e-06	3.700e-06	3.790e-06	8.800e-06	2.280e-06	2.640e-06	3.670e-06	3.730e-06
7260		5.530e-06	5.530e-06	4.210e-06	3.420e-06	3.740e-06	3.800e-06	8.920e-06	2.310e-06	2.670e-06	3.740e-06	3.800e-06
7410		5.660e-06	5.650e-06	4.290e-06	3.480e-06	3.850e-06	3.940e-06	9.210e-06	2.370e-06	2.750e-06	3.810e-06	3.870e-06
7560		5.760e-06	5.760e-06	4.380e-06	3.550e-06	3.890e-06	3.970e-06	9.280e-06	2.400e-06	2.780e-06	2.910e-06	2.990e-06
7710		5.880e-06	5.870e-06	4.470e-06	3.630e-06	4.010e-06	4.110e-06	9.550e-06	2.490e-06	2.860e-06	3.980e-06	4.060e-06
7860		5.990e-06	5.980e-06	4.550e-06	3.690e-06	4.050e-06	4.120e-06	9.650e-06	2.500e-06	2.890e-06	4.050e-06	4.110e-06
8192		6.910e-06	6.900e-06	5.260e-06	4.440e-06	4.470e-06	4.580e-06	1.080e-05	3.000e-06	3.390e-06	3.260e-06	3.280e-06
16384		1.250e-05	1.380e-05	1.050e-05	8.860e-06	8.930e-06	9.130e-06	2.140e-05	5.980e-06	6.760e-06	6.490e-06	6.550e-06
32768		2.500e-05	2.760e-05	2.100e-05	1.770e-05	1.790e-05	1.830e-05	4.280e-05	1.200e-05	1.350e-05	1.300e-05	1.310e-05
65536		5.020e-05	5.550e-05	4.250e-05	3.620e-05	3.630e-05	3.730e-05	8.600e-05	2.490e-05	2.800e-05	2.670e-05	2.690e-05
131072		1.010e-04	1.110e-04	8.700e-05	7.670e-05	7.700e-05	7.820e-05	1.720e-04	6.380e-05	6.710e-05	6.420e-05	6.280e-05
262144		2.030e-04	2.220e-04	1.740e-04	1.540e-04	1.550e-04	1.570e-04	3.440e-04	1.310e-04	1.360e-04	1.340e-04	1.320e-04
524288		4.050e-04	4.430e-04	3.470e-04	3.070e-04	3.090e-04	3.130e-04	6.870e-04	2.620e-04	2.700e-04	2.670e-04	2.650e-04
1048576		8.210e-04	9.030e-04	7.020e-04	6.210e-04	6.250e-04	6.330e-04	1.400e-03	5.280e-04	5.470e-04	5.350e-04	5.300e-04
2097152		2.160e-03	2.320e-03	1.980e-03	1.800e-03	1.830e-03	1.840e-03	3.150e-03	1.610e-03	1.630e-03	1.560e-03	1.560e-03
4194304		5.050e-03	5.110e-03	4.530e-03	4.310e-03	4.610e-03	4.710e-03	6.890e-03	4.190e-03	4.350e-03	4.240e-03	4.260e-03
