len/func	s-vec		s-unr		split		kara		avx2		avx2u		
50			1.005		1.211		0.529		0.560		2.823		3.206		
51			0.995		1.169		0.536		0.568		2.815		3.180		
52			0.981		1.191		0.518		0.552		3.135		3.344		
53			0.981		1.169		0.520		0.546		3.195		3.605		
54			1.056		1.243		0.562		0.581		3.041		3.472		
55			1.051		1.207		0.546		0.579		2.940		3.393		
56			1.077		1.354		0.559		0.593		2.974		3.715		
57			1.077		1.322		0.565		0.588		3.247		3.947		
58			1.099		1.231		0.571		0.595		2.941		3.456		
59			1.034		1.262		0.548		0.574		2.780		3.261		
60			1.066		1.279		0.544		0.568		2.740		3.486		
61			1.056		1.249		0.547		0.566		3.026		3.808		
62			1.068		1.244		0.545		0.569		2.890		3.439		
63			1.075		1.285		0.550		0.565		2.951		3.450		
64			1.067		1.308		0.530		0.563		3.312		4.381		
65			1.104		1.317		0.550		0.577		3.376		4.426		
66			1.073		1.293		0.544		0.566		2.928		3.701		
67			1.069		1.252		0.533		0.556		2.801		3.564		
68			1.076		1.264		0.532		0.556		3.206		3.867		
69			1.067		1.237		0.533		0.544		3.261		4.087		
70			1.051		1.211		0.516		0.545		2.906		3.595		
71			1.041		1.203		0.531		0.553		2.920		3.537		
72			1.068		1.232		0.528		0.552		3.267		3.782		
73			1.061		1.135		0.517		0.531		3.247		4.003		
74			1.060		1.080		0.513		0.543		2.802		3.542		
75			1.055		1.158		0.511		0.541		2.846		3.425		
76			1.070		1.199		0.514		0.538		2.976		3.663		
77			1.069		1.221		0.520		0.529		3.027		3.943		
78			1.054		1.162		0.513		0.536		2.882		3.534		
79			1.061		1.185		0.507		0.525		2.774		3.419		
80			1.038		1.265		0.498		0.526		3.081		3.644		
81			1.060		1.223		0.498		0.518		3.051		3.948		
82			1.066		1.225		0.490		0.516		2.675		3.462		
83			1.072		1.200		0.502		0.521		2.737		3.410		
84			1.043		1.246		0.491		0.517		2.962		3.668		
85			1.092		1.238		0.503		0.523		2.981		3.966		
86			1.071		1.205		0.488		0.511		2.741		3.475		
87			1.057		1.170		0.481		0.494		2.805		3.401		
88			1.056		1.190		0.475		0.507		3.077		3.612		
89			1.046		1.151		0.475		0.502		2.945		3.840		
90			1.048		1.178		0.477		0.500		2.778		3.414		
91			1.087		1.213		0.490		0.511		2.732		3.411		
92			1.064		1.169		0.476		0.495		3.074		3.601		
93			1.057		1.159		0.473		0.497		2.638		3.851		
94			1.044		1.156		0.469		0.490		2.775		3.310		
95			1.052		1.214		0.505		0.528		2.792		3.594		
96			1.024		1.169		0.468		0.492		2.746		4.047		
97			1.057		1.122		0.475		0.487		2.713		4.042		
98			1.061		1.115		0.460		0.480		2.692		3.465		
99			1.045		1.074		0.454		0.468		2.597		3.379		
100			1.047		0.997		0.459		0.480		2.878		3.766		
101			1.047		1.017		0.461		0.489		2.803		3.921		
102			1.035		1.088		0.453		0.472		2.546		3.387		
103			1.034		1.149		0.455		0.468		2.486		3.361		
104			1.037		1.064		0.461		0.484		2.780		3.670		
105			1.071		1.106		0.470		0.483		2.778		3.935		
106			1.047		1.103		0.457		0.481		2.717		3.440		
107			1.059		1.068		0.457		0.486		2.315		3.348		
108			1.061		1.111		0.455		0.484		2.639		3.725		
109			1.050		0.924		0.455		0.478		2.259		3.792		
110			1.027		0.964		0.445		0.462		2.250		3.287		
111			1.079		1.042		0.458		0.475		2.388		3.203		
112			1.049		1.152		0.450		0.469		2.777		3.642		
113			1.065		0.959		0.457		0.476		2.827		3.930		
114			1.043		0.978		0.445		0.473		2.579		3.379		
115			1.059		1.021		0.445		0.471		2.409		3.319		
116			1.044		1.173		0.456		0.484		2.020		3.670		
117			1.036		0.917		0.448		0.460		1.956		3.729		
118			1.068		0.964		0.447		0.466		1.902		3.392		
119			1.044		0.960		0.441		0.461		2.154		3.266		
120			1.041		1.125		0.449		0.474		2.120		3.616		
121			1.039		0.922		0.446		0.467		1.961		3.741		
122			1.041		0.925		0.438		0.457		1.971		3.213		
123			1.063		0.979		0.447		0.462		2.138		3.299		
124			1.040		1.143		0.439		0.465		2.029		3.586		
125			1.057		0.955		0.449		0.470		2.073		3.795		
126			1.037		0.936		0.437		0.456		2.014		3.254		
127			1.067		1.036		0.443		0.459		2.057		3.323		
128			1.039		1.133		0.435		0.470		2.068		3.908		
129			1.051		0.962		0.452		0.471		2.071		3.919		
130			1.009		0.949		0.432		0.452		1.986		3.131		
131			1.036		1.012		0.435		0.453		2.005		3.085		
132			1.053		1.168		0.438		0.457		2.126		3.590		
133			1.052		0.972		0.441		0.454		2.051		3.739		
134			1.049		1.044		0.434		0.452		2.107		3.292		
135			1.077		1.062		0.444		0.457		2.139		3.300		
136			1.037		1.147		0.439		0.459		2.083		3.587		
137			1.021		0.966		0.431		0.448		2.009		3.672		
138			1.020		0.978		0.425		0.447		2.004		3.132		
139			1.041		1.029		0.433		0.450		2.125		3.210		
140			1.029		1.108		0.436		0.453		2.139		3.554		
141			1.041		0.973		0.431		0.415		2.095		3.748		
142			1.029		1.024		0.424		0.440		2.062		3.186		
143			1.048		1.037		0.433		0.445		2.079		3.216		
144			1.026		1.123		0.428		0.449		2.030		3.485		
145			1.047		0.975		0.433		0.445		2.079		3.659		
146			1.037		0.992		0.437		0.453		2.116		3.260		
