len/func	s-vec		s-unr		split-o		split-n		kara		avx2		avx2u		
136			1.028		0.996		0.428		1.040		0.452		3.069		3.532		
137			1.075		1.043		0.443		1.043		0.458		3.081		3.535		
138			1.049		1.057		0.427		0.935		0.448		2.575		3.177		
139			1.075		1.144		0.439		0.951		0.456		2.619		3.201		
140			1.036		1.016		0.431		1.016		0.448		3.067		3.515		
141			1.043		1.034		0.431		0.998		0.448		2.929		3.627		
142			1.048		1.053		0.425		0.900		0.450		2.608		3.232		
143			1.057		1.123		0.427		0.908		0.443		2.500		3.207		
144			1.052		1.020		0.428		1.038		0.449		3.032		3.511		
145			1.067		1.067		0.438		1.041		0.454		3.038		3.698		
146			1.037		1.075		0.432		0.946		0.452		2.596		3.188		
147			1.026		1.100		0.428		0.933		0.444		2.554		3.125		
148			1.049		0.942		0.428		1.004		0.444		3.006		3.442		
149			1.044		1.026		0.427		1.015		0.451		3.025		3.677		
150			1.055		1.041		0.420		0.901		0.447		2.654		3.220		
151			1.050		1.113		0.420		0.898		0.406		2.556		3.178		
152			1.052		0.902		0.423		1.030		0.443		3.025		3.430		
153			1.047		1.010		0.427		1.021		0.442		2.958		3.637		
154			1.064		1.018		0.426		0.949		0.446		2.572		3.178		
155			1.065		1.158		0.432		0.947		0.447		2.538		3.176		
156			1.038		0.928		0.421		0.994		0.436		2.970		3.424		
157			1.008		1.004		0.415		0.980		0.433		2.923		3.554		
158			1.022		0.962		0.418		0.899		0.432		2.518		3.112		
159			1.033		1.139		0.416		0.902		0.438		2.540		3.117		
160			1.041		0.933		0.417		1.018		0.435		2.919		3.713		
161			1.049		1.010		0.423		1.016		0.441		2.893		3.710		
162			1.055		1.024		0.425		0.940		0.443		2.577		3.217		
163			1.032		1.108		0.394		0.941		0.441		2.586		3.200		
164			1.042		0.945		0.392		1.020		0.447		3.012		3.597		
165			1.042		1.065		0.422		0.996		0.447		2.989		3.736		
166			1.050		1.025		0.415		0.900		0.439		2.628		3.209		
167			1.045		1.170		0.414		0.897		0.445		2.611		3.212		
168			1.051		0.957		0.418		1.019		0.446		2.553		3.588		
169			1.049		1.037		0.418		1.004		0.446		2.642		3.688		
170			1.051		1.027		0.419		0.926		0.447		2.577		3.210		
171			1.045		1.065		0.420		0.921		0.444		2.463		3.159		
172			1.041		0.968		0.414		0.989		0.445		2.663		3.539		
173			1.046		1.013		0.417		0.984		0.441		2.823		3.662		
174			1.048		0.927		0.414		0.895		0.440		2.438		3.193		
175			1.048		0.982		0.385		0.903		0.441		2.318		3.144		
176			1.044		0.952		0.414		1.017		0.437		2.657		3.459		
177			1.047		1.009		0.416		1.007		0.435		2.724		3.591		
178			1.032		1.000		0.413		0.920		0.433		2.280		3.095		
179			1.053		1.083		0.416		0.920		0.435		2.141		3.099		
180			1.024		0.952		0.412		0.988		0.431		2.705		3.436		
181			1.024		0.998		0.412		0.977		0.428		2.461		3.551		
182			1.027		1.037		0.406		0.884		0.424		2.256		3.082		
183			1.056		1.131		0.417		0.901		0.436		2.189		3.135		
184			1.059		0.975		0.417		1.025		0.439		2.496		3.488		
185			1.040		1.011		0.412		1.002		0.431		2.358		3.627		
186			1.043		1.011		0.414		0.916		0.403		2.224		3.165		
187			1.042		1.129		0.412		0.899		0.437		2.098		3.119		
188			1.038		0.976		0.411		0.985		0.439		2.528		3.488		
189			1.036		1.049		0.393		0.993		0.438		2.498		3.615		
190			1.039		1.026		0.406		0.884		0.424		2.233		3.063		
191			1.021		1.095		0.406		0.880		0.423		2.078		3.031		
192			1.016		0.977		0.408		1.000		0.426		2.450		3.630		
193			1.054		1.054		0.417		1.003		0.432		2.453		3.665		
194			1.045		1.029		0.416		0.921		0.434		2.169		3.242		
195			1.043		1.099		0.412		0.898		0.439		2.131		3.180		
196			1.040		0.982		0.407		0.976		0.437		2.435		3.544		
197			1.038		1.019		0.410		0.965		0.425		2.431		3.547		
198			1.029		0.998		0.403		0.878		0.419		2.237		3.082		
199			1.025		1.125		0.404		0.878		0.424		2.089		3.065		
200			1.053		0.928		0.413		1.008		0.434		2.403		3.563		
350			1.016		0.981		0.384		0.856		0.402		2.205		2.911		
500			1.014		0.875		0.378		0.927		0.395		2.583		3.333		
650			0.943		0.984		0.379		0.863		0.397		2.313		2.898		
800			0.965		0.898		0.375		0.932		0.392		2.585		3.486		
950			0.974		0.977		0.369		0.825		0.393		2.364		3.002		
1100		0.962		0.910		0.378		0.941		0.401		2.764		3.462		
1250		0.992		1.046		0.392		0.896		0.412		2.473		3.195		
1400		0.973		0.925		0.385		0.961		0.408		2.877		3.609		
1550		0.969		1.000		0.378		0.843		0.407		2.486		3.129		
1700		0.964		0.958		0.386		0.951		0.383		2.927		3.604		
1850		0.964		1.017		0.390		0.900		0.417		2.512		3.212		
2000		0.963		0.950		0.386		0.961		0.415		2.958		3.665		
2150		0.958		1.000		0.367		0.890		0.414		2.554		3.209		
2300		0.983		1.059		0.402		0.988		0.422		3.031		3.731		
2450		0.996		1.080		0.414		0.954		0.433		2.551		3.433		
2600		0.976		1.027		0.393		1.036		0.435		3.146		3.851		
2750		0.969		1.058		0.405		0.913		0.424		2.593		3.369		
2900		0.990		1.007		0.415		1.017		0.431		3.154		3.843		
3050		1.038		1.191		0.440		1.009		0.471		2.830		3.530		
3200		1.030		1.144		0.444		1.000		0.475		2.694		3.323		
3350		0.991		1.107		0.440		0.973		0.443		2.019		2.559		
3500		1.009		1.158		0.455		1.093		0.476		2.417		2.889		
3650		1.008		1.196		0.455		1.025		0.477		1.965		2.558		
3800		0.976		1.109		0.428		1.109		0.469		2.364		2.877		
3950		1.015		1.162		0.466		1.038		0.487		2.089		2.667		
4100		1.014		1.216		0.467		1.128		0.488		2.513		2.987		
4250		1.000		1.195		0.452		1.029		0.473		1.953		2.474		
4400		1.007		1.190		0.466		1.154		0.487		2.455		2.988		
4550		1.006		1.106		0.464		1.033		0.486		2.077		2.583		
4700		1.006		1.178		0.458		1.152		0.494		2.508		2.983		
4850		1.006		1.200		0.454		1.000		0.488		2.015		2.600		
5000		1.000		1.169		0.455		1.137		0.485		2.445		2.970		
5150		1.006		1.212		0.465		0.989		0.497		2.117		2.630		
5300		1.011		1.201		0.452		1.155		0.493		2.503		2.998		
5450		1.000		1.205		0.447		1.064		0.488		2.013		2.596		
5600		1.000		1.124		0.463		1.145		0.483		2.427		2.973		
5750		0.950		1.179		0.449		1.005		0.470		2.021		2.513		
5900		1.005		1.228		0.461		1.124		0.481		2.445		2.948		
6050		1.005		1.229		0.459		1.052		0.482		2.000		2.556		
6200		1.000		1.154		0.462		1.099		0.484		2.425		3.022		
6350		1.005		1.199		0.462		1.028		0.484		2.067		2.659		
6500		1.009		1.196		0.461		1.140		0.482		2.469		3.005		
6650		1.004		1.222		0.471		1.027		0.505		2.062		2.674		
6800		1.004		1.221		0.467		1.121		0.499		2.522		3.065		
6950		1.004		1.158		0.457		1.035		0.480		2.061		2.571		
7100		0.964		1.198		0.464		1.136		0.485		2.474		2.980		
7250		1.000		1.232		0.460		1.056		0.481		1.848		2.615		
7400		1.004		1.227		0.460		1.137		0.477		2.490		3.022		
7550		1.008		1.222		0.464		1.053		0.488		2.123		2.665		
7700		1.004		1.206		0.460		1.169		0.496		2.505		3.013		
7850		1.004		1.238		0.461		1.091		0.493		2.038		2.624		
8000		1.004		1.252		0.460		1.197		0.499		2.528		3.071		
8192		1.021		1.262		0.486		1.235		0.515		2.580		3.148		
16384		1.009		1.218		0.482		1.206		0.508		2.552		3.092		
32768		1.009		1.209		0.487		1.199		0.507		2.562		3.032		
65536		1.004		1.209		0.483		1.196		0.504		2.514		3.083		
131072		0.996		1.214		0.479		1.227		0.505		2.259		2.467		
262144		1.012		1.183		0.501		1.212		0.512		1.694		1.703		
524288		1.010		1.158		0.517		1.172		0.540		1.623		1.784		
1048576		0.950		1.334		0.599		1.313		0.611		1.667		1.953		
2097152		1.037		1.070		0.511		1.018		0.523		1.487		1.292		
4194304		1.003		1.059		0.800		1.194		0.821		1.283		1.171		
