╰─ ./profile_sec2_new 25 1
function: dot product
unit: all measurements in seconds
profiled: seq no-vec | seq auto-vec | seq loop-unrolled | split | karatsuba | avx2 | avx2 loop-unrolled | avx512 | avx512 loop-unrolled
bitsize: 25

len/func        s-novec         s-vec           s-unr           split           kara            avx2            avx2u   avx512          avx512u
61              2.050e-08       2.820e-08       1.770e-08       1.440e-08       1.610e-08       5.130e-09       4.830e-09       5.270e-09       5.590e-09
62              2.030e-08       2.980e-08       1.810e-08       1.450e-08       1.630e-08       5.590e-09       5.490e-09       6.240e-09       6.390e-09
63              2.120e-08       2.860e-08       1.850e-08       1.570e-08       1.610e-08       5.680e-09       5.870e-09       6.510e-09       6.840e-09
64              2.140e-08       2.880e-08       1.850e-08       1.340e-08       1.530e-08       5.500e-09       4.880e-09       4.970e-09       5.070e-09
65              2.210e-08       3.000e-08       1.910e-08       1.310e-08       1.500e-08       5.410e-09       4.930e-09       5.320e-09       5.260e-09
66              2.280e-08       3.000e-08       1.920e-08       1.340e-08       1.570e-08       5.950e-09       6.080e-09       6.160e-09       6.150e-09
67              2.240e-08       3.070e-08       1.940e-08       1.400e-08       1.560e-08       6.190e-09       6.110e-09       6.350e-09       6.260e-09
68              2.240e-08       3.200e-08       2.060e-08       1.560e-08       1.730e-08       5.600e-09       5.560e-09       5.500e-09       5.600e-09
69              2.320e-08       3.110e-08       2.080e-08       1.530e-08       1.730e-08       5.620e-09       5.230e-09       5.880e-09       5.830e-09
70              2.360e-08       3.180e-08       2.040e-08       1.620e-08       1.830e-08       6.200e-09       6.110e-09       6.830e-09       6.820e-09
71              2.380e-08       3.220e-08       2.090e-08       1.710e-08       1.840e-08       6.330e-09       6.390e-09       7.180e-09       6.970e-09
72              2.410e-08       3.260e-08       2.200e-08       1.410e-08       1.650e-08       5.900e-09       5.860e-09       5.950e-09       5.610e-09
73              2.220e-08       3.670e-08       2.170e-08       1.450e-08       1.720e-08       5.810e-09       5.520e-09       6.060e-09       5.780e-09
74              2.720e-08       3.750e-08       2.120e-08       1.570e-08       1.750e-08       6.780e-09       6.710e-09       7.090e-09       6.910e-09
75              2.890e-08       3.780e-08       2.170e-08       1.500e-08       1.750e-08       6.880e-09       6.810e-09       7.230e-09       6.940e-09
76              2.930e-08       3.830e-08       2.220e-08       1.640e-08       1.960e-08       6.180e-09       6.180e-09       6.590e-09       6.260e-09
77              3.050e-08       3.870e-08       2.230e-08       1.700e-08       1.910e-08       6.390e-09       5.940e-09       6.790e-09       6.570e-09
78              2.970e-08       3.900e-08       2.310e-08       1.740e-08       1.930e-08       6.890e-09       6.950e-09       7.710e-09       7.510e-09
79              3.170e-08       3.880e-08       2.270e-08       1.840e-08       1.960e-08       7.070e-09       7.070e-09       7.990e-09       7.870e-09
80              3.070e-08       3.920e-08       2.330e-08       1.550e-08       1.920e-08       6.380e-09       6.380e-09       6.230e-09       6.230e-09
81              3.140e-08       4.010e-08       2.350e-08       1.650e-08       1.850e-08       6.480e-09       6.090e-09       6.400e-09       6.410e-09
82              3.230e-08       4.090e-08       2.420e-08       1.630e-08       1.890e-08       7.470e-09       7.580e-09       7.630e-09       7.490e-09
83              3.270e-08       4.110e-08       2.460e-08       1.710e-08       1.960e-08       7.520e-09       7.590e-09       7.810e-09       7.730e-09
84              3.030e-08       4.160e-08       2.460e-08       1.820e-08       2.030e-08       6.840e-09       6.630e-09       6.890e-09       6.790e-09
85              3.140e-08       4.180e-08       2.470e-08       1.810e-08       2.040e-08       6.880e-09       6.460e-09       7.030e-09       6.990e-09
86              3.230e-08       4.140e-08       2.550e-08       1.890e-08       2.120e-08       7.590e-09       7.690e-09       8.250e-09       8.210e-09
87              3.340e-08       4.310e-08       2.610e-08       1.990e-08       2.080e-08       7.720e-09       7.800e-09       8.320e-09       8.560e-09
88              3.300e-08       4.350e-08       2.580e-08       1.740e-08       1.980e-08       7.060e-09       6.940e-09       6.820e-09       6.960e-09
89              3.180e-08       4.340e-08       2.600e-08       1.780e-08       2.040e-08       7.120e-09       6.960e-09       7.050e-09       7.150e-09
