# Intel(R) Core(TM) Ultra 5 125H
# 4,5GHz

unit: all measurements in c/l
profiled: sequential | seq loop-unrolled | simd | simd loop-unrolled
bit/len	1		2		3		4		5		6		7		8		9		10		11		12		13		14		15		16		1024		65536
22	7.4|4.7|4.9|5.0	5.0|2.7|2.6|2.8	4.9|2.0|2.0|2.1	4.7|1.7|1.4|1.9	9.6|2.6|2.5|2.8	8.2|2.4|2.3|2.0	4.7|1.2|1.2|1.3	4.6|1.0|0.8|1.0	4.3|1.0|0.9|1.0	4.5|1.0|0.8|1.0	4.6|0.9|0.8|0.9	3.9|0.8|0.6|0.8	4.4|0.8|0.6|0.8	4.0|0.8|0.6|0.8	4.3|0.8|0.6|0.8	4.5|0.7|0.5|0.7	2.1|0.5|0.3|0.2	2.3|0.5|0.5|0.4
23	7.4|4.7|5.0|5.1	5.9|2.7|2.6|2.8	4.7|2.0|2.0|2.1	4.6|1.7|1.4|1.9	5.1|1.5|1.4|2.6	8.0|2.4|2.3|2.7	8.4|2.2|2.1|2.3	8.2|1.5|0.8|1.0	4.6|1.0|0.8|1.0	4.4|0.9|0.8|1.0	4.5|0.9|0.8|0.9	4.4|0.8|0.6|0.8	4.5|0.8|0.6|0.8	4.4|0.8|0.6|0.8	4.0|0.8|0.6|0.8	4.1|0.7|0.5|0.7	2.1|0.5|0.5|0.4	4.0|1.0|0.9|0.8
24	11.1|4.6|5.0|5.0	5.9|2.7|2.6|2.8	5.1|2.0|2.0|2.1	4.4|1.7|1.4|1.9	5.1|1.5|1.4|1.5	4.7|1.3|1.3|1.5	4.7|1.2|1.2|1.3	4.6|1.0|0.8|1.0	4.7|1.0|0.8|1.0	4.7|1.0|0.8|1.0	4.2|0.9|0.8|0.9	4.1|0.8|0.6|0.8	4.2|0.8|0.6|0.8	4.3|0.8|0.6|0.8	4.1|0.8|0.6|0.8	4.4|0.7|0.5|0.7	2.1|0.5|0.3|0.2	2.3|0.5|0.5|0.4
25	7.4|4.6|4.9|5.0	6.0|2.7|2.6|2.8	4.9|2.0|2.0|2.1	4.5|1.7|1.4|1.9	4.9|1.5|1.4|1.5	4.9|1.3|1.3|1.5	4.6|1.2|1.2|1.3	4.6|1.0|0.8|1.0	4.5|1.0|0.9|1.0	4.4|1.0|0.8|1.0	4.2|0.9|0.8|0.9	4.6|0.8|0.6|0.8	4.3|0.8|0.6|0.8	4.2|0.8|0.6|0.8	4.1|0.8|0.6|0.8	4.3|0.7|0.5|0.7	2.2|0.5|0.3|0.2	2.3|0.5|0.5|0.4
26	7.4|4.7|5.0|5.0	5.7|2.7|2.6|2.8	4.8|2.0|2.0|2.1	4.6|1.7|1.4|1.9	4.9|1.5|1.4|1.5	4.6|1.3|1.3|1.5	4.6|1.2|1.2|1.3	4.6|1.0|0.8|1.0	4.6|1.0|0.9|1.0	4.6|1.0|0.8|1.0	4.4|0.9|0.8|0.9	4.6|0.8|0.6|0.8	4.4|0.8|0.6|0.8	4.2|0.8|0.6|0.8	4.4|0.8|0.6|0.8	4.0|0.7|0.5|0.7	2.1|0.5|0.3|0.2	2.3|0.6|0.5|0.4
27	7.4|4.6|5.0|5.0	5.3|2.7|2.6|2.8	4.8|2.0|2.0|2.1	5.0|1.7|1.4|1.9	4.9|1.5|1.4|1.5	4.5|1.3|1.3|1.5	4.6|1.2|1.2|1.3	4.6|1.0|0.8|1.0	4.6|1.0|0.8|1.0	4.5|1.0|0.8|1.0	4.5|0.9|0.8|0.9	4.2|0.8|0.6|0.8	4.6|0.8|0.6|0.8	4.3|0.8|0.6|0.8	4.3|0.8|0.6|0.8	4.4|0.7|0.5|0.7	2.1|0.5|0.3|0.2	2.3|0.6|0.5|0.4
28	7.4|4.7|4.9|5.0	5.7|2.7|2.6|2.8	4.8|2.0|2.0|2.1	4.9|1.7|1.4|1.9	5.0|1.5|1.4|1.5	4.7|1.3|1.3|1.5	4.7|1.2|1.2|1.3	4.4|1.0|0.8|1.0	4.3|1.0|0.8|1.0	4.5|1.0|0.8|1.0	4.6|0.9|0.8|0.9	4.3|0.8|0.6|0.8	4.4|0.8|0.6|0.8	4.5|0.8|0.6|0.8	4.3|0.8|0.6|0.8	4.3|0.7|0.5|0.7	2.1|0.5|0.3|0.2	2.3|0.6|0.5|0.4
29	7.4|4.6|5.0|5.0	5.9|2.7|2.6|2.8	5.1|2.0|2.0|2.1	4.7|1.7|1.4|1.9	5.2|1.5|1.4|1.5	4.7|1.3|1.3|1.5	4.7|1.2|1.2|1.3	4.3|1.0|0.8|1.0	4.7|1.0|0.8|1.0	4.7|1.0|0.8|1.0	4.7|0.9|0.8|0.9	4.5|0.8|0.6|0.8	4.0|0.8|0.6|0.8	3.9|0.8|0.6|0.8	4.0|0.8|0.6|0.8	4.4|0.7|0.5|0.7	2.1|0.5|0.3|0.2	2.3|0.5|0.5|0.4
30	7.5|4.6|4.9|5.0	5.4|2.7|2.6|2.8	4.9|2.0|2.0|2.1	4.4|1.7|1.4|1.9	5.3|1.5|1.4|1.5	4.8|1.3|1.3|1.5	4.7|1.2|1.2|1.3	4.5|1.0|0.8|1.0	4.4|1.0|0.9|1.0	4.6|1.0|0.8|1.0	4.5|0.9|0.8|0.9	4.6|0.8|0.6|0.8	4.1|0.8|0.6|0.8	4.4|0.8|0.6|0.8	4.1|0.8|0.6|0.8	4.5|0.7|0.5|0.7	2.1|0.5|0.3|0.2	2.3|0.6|0.5|0.4
31	7.4|4.6|4.9|5.0	6.0|2.7|2.6|2.8	4.9|2.0|2.0|2.1	4.9|1.7|1.4|1.9	5.0|1.5|1.4|1.5	4.5|1.3|1.3|1.5	4.7|1.2|1.2|1.3	4.6|1.0|0.8|1.0	4.6|1.0|0.9|1.0	4.4|1.0|0.8|1.0	4.2|0.9|0.8|0.9	4.2|0.8|0.6|0.8	4.4|0.8|0.6|0.8	4.0|0.8|0.6|0.8	4.4|0.8|0.6|0.8	4.1|0.7|0.5|0.7	2.1|0.5|0.3|0.2	2.3|0.5|0.5|0.4
